model_name,lang,condition,word_at_1,word_at_5,pred_punct_rate,pred_stop_rate,N,run_seed,run_model
bert-base-multilingual-cased,de_gsd,FullyScrambled,0.0,0.017543859649122806,0.22305764411027568,0.10275689223057644,399,456,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,FullyScrambled+Lemma,0.0,0.005012531328320802,0.22055137844611528,0.13533834586466165,399,456,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,HeadScrambled,0.07268170426065163,0.15538847117794485,0.08521303258145363,0.08020050125313283,399,456,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,Original,0.14035087719298245,0.2731829573934837,0.03258145363408521,0.05764411027568922,399,456,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,Original+Lemma,0.047619047619047616,0.15037593984962405,0.09523809523809523,0.07017543859649122,399,456,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,PartiallyScrambled,0.08270676691729323,0.19298245614035087,0.08020050125313283,0.06766917293233082,399,456,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,PartiallyScrambled+Lemma,0.040100250626566414,0.10275689223057644,0.11027568922305764,0.08270676691729323,399,456,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,FullyScrambled,0.013623978201634877,0.03814713896457766,0.25340599455040874,0.1880108991825613,367,456,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,FullyScrambled+Lemma,0.013550135501355014,0.03523035230352303,0.2140921409214092,0.22493224932249323,369,456,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,HeadScrambled,0.07084468664850137,0.16076294277929154,0.1335149863760218,0.1226158038147139,367,456,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,Original,0.24795640326975477,0.4087193460490463,0.05722070844686648,0.05722070844686648,367,456,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,Original+Lemma,0.1842818428184282,0.32791327913279134,0.05962059620596206,0.0948509485094851,369,456,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,PartiallyScrambled,0.14168937329700274,0.2506811989100817,0.08719346049046321,0.08991825613079019,367,456,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,PartiallyScrambled+Lemma,0.0975609756097561,0.2032520325203252,0.08943089430894309,0.11924119241192412,369,456,bert-base-multilingual-cased
bert-base-multilingual-cased,es_ancora,FullyScrambled,0.007518796992481203,0.03508771929824561,0.15789473684210525,0.20050125313283207,399,456,bert-base-multilingual-cased
